2025-04-06 18:51:26,436 - PokerDataExtractor - INFO - WebDriver initialized successfully
2025-04-06 18:51:26,436 - PokerDataExtractor - INFO - Hero set to: YourUsername
2025-04-06 18:51:27,354 - PokerDataExtractor - INFO - Navigated to https://www.pokernow.club/games/pgl5AEiLfXPzHUOqt_ZJgp4kE
2025-04-06 18:51:27,354 - PokerDataExtractor - INFO - Starting poker data tracking...
2025-04-06 18:51:27,445 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:28,507 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:29,560 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:30,620 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:31,680 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:32,741 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:33,801 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:34,862 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:35,920 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:36,998 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:38,064 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
2025-04-06 18:51:39,120 - PokerDataExtractor - INFO - Sending to Bet Sizer: {'module': 'bet-sizer', 'hero_stack': 0, 'villain_stack': 0, 'pot_size': 0.0, 'raises_on_street': 0, 'last_villain_bet': 0, 'big_blind': 0, 'multiway': False, 'street': 'preflop', 'hero_position': 0, 'in_position': False}
